,Laptop,Price
0,"Hp Laptop 15.6” - Intel Celeron Core 2 Duo - 4G - 500GB HDD  - Windows 10 - SilverGH₵ 1,571.70GH₵ 2,400.0035%4 out of 5(1)Add To Cart","GH₵ 1,571.70"
1,"Lenovo V14-IGL -14.0″ -  Intel N4020 - 4GB DDR4 RAM - 1TB HDD - GreyGH₵ 2,295.00GH₵ 2,560.0010%4 out of 5(20)Add To Cart","GH₵ 2,295.00"
2,"Hp Laptop - Intel Celeron Core 2 Duo - 4G RAM - 500GB HDD - 15.6” - Windows10 - SilverGH₵ 1,656.00GH₵ 2,400.0031%1 out of 5(1)Add To Cart","GH₵ 1,656.00"
3,"Apple 2020 MacBook Pro - 512GB SSD 8GB RAM -13.3 -Space-GrayGH₵ 8,900.00GH₵ 9,200.003%Add To Cart","GH₵ 8,900.00"
4,"Hp Laptop 14 - cf2187nia 10th Generation Intel Core i3 - 4GB RAM - 1TB HDD - 14.0'' LED Screen - BlackGH₵ 2,899.00GH₵ 3,195.009%offers from4.5 out of 5(17)Add To Cart","GH₵ 2,899.00"
5,"Hp Notebook 15 15-DY2131WM - Core i3-1115G4- 10th Gen- 8GB Ram-256GB SSD- Windows 10 - SilverGH₵ 3,700.00GH₵ 4,000.008%Add To Cart","GH₵ 3,700.00"
6,"Shipped from abroad10.1 inch Netbook PC - 1GBRAM - 8GB HDD - Android 5.1 ATM7059  - BlackGH₵ 750.00GH₵ 1,324.0043%3.5 out of 5(11)Add To Cart",GH₵ 750.00
7,"Hp 15 Notebook Laptop -15.6'' - Intel® Celeron®  500GB HDD - 4GB RAM - Windows 10 - BlackGH₵ 2,244.00GH₵ 2,650.0015%4 out of 5(9)Add To Cart","GH₵ 2,244.00"
8,"Lenovo IdeaPad 1 11IGL05 11.6"" - 4GB RAM - 128GB SSD - Intel Celeron N4020 Win10 - Platinum GreyGH₵ 2,294.00GH₵ 2,600.0012%Add To Cart","GH₵ 2,294.00"
9,"Hp 15-da0021ds Intel Pentium Gold 5405U Laptop - TOUCH SCREEN 8GB RAM - 256GB SSD - Win 10 - BLUEGH₵ 2,950.00Add To Cart","GH₵ 2,950.00"
10,"Hp Pavilion Gaming -Core i5-10300H -1TB DRIVE - 256SSD- 8GB RAM - 4GB Nvidia- BlackGH₵ 5,800.00Add To Cart","GH₵ 5,800.00"
11,"Hp Notebook 15-da2937nia - 15.6"" - 10th Gen Core i7-10510U - 8GB RAM - 1TB HDD  - Windows 10 - BlackGH₵ 4,750.00GH₵ 5,400.0012%5 out of 5(3)Add To Cart","GH₵ 4,750.00"
12,"Hp 15T-ED000 x360 -15"" - Core i7-1065G7+512 SSD+16GB RAM+4GB NVIDIA MX330 - Windows 10 -SilverGH₵ 9,800.00GH₵ 10,000.002%Add To Cart","GH₵ 9,800.00"
13,"Lenovo Ideapad S145-15IGM (81MX) - Intel Celeron N4000- 1TB HDD - 4GB RAM -15.6"" - Windows 10 - BlackGH₵ 2,189.00GH₵ 2,490.0012%offers from4.2 out of 5(18)Add To Cart","GH₵ 2,189.00"
14,"Hp Pavilion 15-er0125od x360 - Intel Core i5 - 8GB RAM - 256GB SSD Touchscreen - SilverGH₵ 4,850.00GH₵ 5,200.007%Add To Cart","GH₵ 4,850.00"
15,"Shipped from abroad360o Rotating Bluetooth 7 s Backlit Aluminum Keyboard For iPad 9.7"" 2018/iPad 9.7"" 2017/iPad Air/Air 2/Pro 9.7""-Blue (blue)GH₵ 499.00GH₵ 997.0050%Add To Cart",GH₵ 499.00
16,"Hp Laptop 14 - cf2187nia 10th Generation Intel Core i3 - 8GB RAM - 1TB HDD - 14.0'' LED Screen - BlackGH₵ 3,250.00GH₵ 3,650.0011%5 out of 5(1)Add To Cart","GH₵ 3,250.00"
17,"Shipped from abroadTDD-10.1 Netbook PC - 10.1"" - Dual-Core - 1GB RAM - Android 6.0 - WhiteGH₵ 855.00GH₵ 1,163.0026%2.7 out of 5(3)Add To Cart",GH₵ 855.00
18,"Shipped from abroadN1001 Netbook PC - 10.1"" - Dual-Core - 1GB RAM - Android 6.0 - PinkGH₵ 719.00GH₵ 1,269.0043%3.4 out of 5(9)Add To Cart",GH₵ 719.00
19,"Lenovo V15 Intel Core i3 - 10th Generation 15.6"" - 12GB RAM -1 TB HDD - Win 10 Pro - Iron GrayGH₵ 3,434.00GH₵ 3,700.007%3.5 out of 5(2)Add To Cart","GH₵ 3,434.00"
